latitude,longitude,temp_c
42.0000,-141.0000,0.0000
42.0000,-139.1837,0.0000
42.0000,-137.3673,0.0000
42.0000,-135.5510,0.0000
42.0000,-133.7347,0.0000
42.0000,-131.9184,0.0000
42.0000,-130.1020,0.0001
42.0000,-128.2857,0.0026
42.0000,-126.4694,0.0342
42.0000,-124.6531,0.1536
42.0000,-122.8367,0.1276
42.0000,-121.0204,-0.0046
42.0000,-119.2041,-0.0053
42.0000,-117.3878,0.0002
42.0000,-115.5714,0.0123
42.0000,-113.7551,0.0481
42.0000,-111.9388,0.0394
42.0000,-110.1224,-0.0012
42.0000,-108.3061,-0.0017
42.0000,-106.4898,-0.0001
42.0000,-104.6735,0.0000
42.0000,-102.8571,0.0000
42.0000,-101.0408,-0.0000
42.0000,-99.2245,-0.0000
42.0000,-97.4082,-0.0001
42.0000,-95.5918,-0.0001
42.0000,-93.7755,0.0000
42.0000,-91.9592,0.0003
42.0000,-90.1429,0.0004
42.0000,-88.3265,-0.0515
42.0000,-86.5102,-0.9121
42.0000,-84.6939,0.7283
42.0000,-82.8776,4.8211
42.0000,-81.0612,15.4356
42.0000,-79.2449,23.9083
42.0000,-77.4286,-22.1773
42.0000,-75.6122,16.9783
42.0000,-73.7959,13.4465
42.0000,-71.9796,-8.0327
42.0000,-70.1633,6.2563
42.0000,-68.3469,3.9927
42.0000,-66.5306,1.1229
42.0000,-64.7143,-0.5515
42.0000,-62.8980,-0.7154
42.0000,-61.0816,-0.0484
42.0000,-59.2653,-0.0490
42.0000,-57.4490,0.0010
42.0000,-55.6327,0.0079
42.0000,-53.8163,0.0120
42.0000,-52.0000,0.0076
42.8367,-141.0000,0.0000
42.8367,-139.1837,0.0000
42.8367,-137.3673,0.0000
42.8367,-135.5510,0.0000
42.8367,-133.7347,0.0000
42.8367,-131.9184,0.0000
42.8367,-130.1020,0.0009
42.8367,-128.2857,0.0307
42.8367,-126.4694,0.3456
42.8367,-124.6531,1.4077
42.8367,-122.8367,1.0567
42.8367,-121.0204,-0.1508
42.8367,-119.2041,-0.0705
42.8367,-117.3878,0.0021
42.8367,-115.5714,0.1493
42.8367,-113.7551,0.5971
42.8367,-111.9388,0.4936
42.8367,-110.1224,-0.0244
42.8367,-108.3061,-0.0225
42.8367,-106.4898,-0.0005
42.8367,-104.6735,0.0004
42.8367,-102.8571,0.0001
42.8367,-101.0408,-0.0001
42.8367,-99.2245,-0.0006
42.8367,-97.4082,-0.0019
42.8367,-95.5918,-0.0009
42.8367,-93.7755,0.0004
42.8367,-91.9592,0.0035
42.8367,-90.1429,0.0093
42.8367,-88.3265,-0.0365
42.8367,-86.5102,-1.0274
42.8367,-84.6939,-2.3562
42.8367,-82.8776,-7.2797
42.8367,-81.0612,-0.3136
42.8367,-79.2449,8.1265
42.8367,-77.4286,-30.2436
42.8367,-75.6122,37.0149
42.8367,-73.7959,21.5486
42.8367,-71.9796,-15.0004
42.8367,-70.1633,16.0848
42.8367,-68.3469,9.1351
42.8367,-66.5306,2.7966
42.8367,-64.7143,-0.1255
42.8367,-62.8980,-0.5103
42.8367,-61.0816,0.0506
42.8367,-59.2653,-0.1179
42.8367,-57.4490,0.0229
42.8367,-55.6327,0.0527
42.8367,-53.8163,0.0765
42.8367,-52.0000,0.0467
43.6735,-141.0000,0.0000
43.6735,-139.1837,0.0000
43.6735,-137.3673,0.0000
43.6735,-135.5510,0.0000
43.6735,-133.7347,0.0000
43.6735,-131.9184,0.0001
43.6735,-130.1020,0.0084
43.6735,-128.2857,0.2598
