latitude,longitude,avg_temp_c
50.8333,-107.3167,0.7194
51.5833,-110.75,0.6857
60.1667,-132.7333,0.1903
55.15,-105.2667,0.2548
49.9,-109.4667,1.2833
56.3333,-103.2833,-0.0677
53.6333,-111.6833,0.7286
49.5,-98.0333,1.1065
51.45,-116.35,1.1167
51.0333,-115.0333,1.8774
51.7833,-111.2167,0.6857
58.4333,-130.0333,0.2645
45.1167,-74.05,2.3371
44.2326,-79.781,2.5339
48.6167,-68.2,1.9824
45.6667,-71.7333,1.8952
43.65,-80.4167,2.4839
43.65,-80.4167,2.4774
51.7667,-113.2,0.8810
50.2667,-107.7333,0.9710
49.1833,-98.9,0.8968
54.0,-112.8833,0.5571
46.85,-75.3333,1.4403
49.9,-98.2833,1.1194
49.3167,-57.4,1.8900
58.8333,-122.6,-0.6069
48.9333,-57.9167,2.0419
49.2833,-99.3,0.8414
68.8,-140.85,-2.2333
63.25,-130.0333,-0.9609
58.4667,-78.0833,-0.0452
49.6833,-125.0333,3.5690
49.7667,-125.0,3.7871
49.6833,-88.3,1.4677
53.9167,-106.0667,0.3871
49.8167,-74.9833,0.8194
43.8333,-66.0833,2.9355
43.8333,-66.0833,2.9581
49.8,-112.3,1.6952
50.0333,-113.2167,1.7000
49.7833,-123.1667,3.3806
73.2333,-119.5333,-2.1074
53.0667,-93.35,-0.5050
50.6333,-93.2167,0.9323
46.4333,-63.8333,2.3000
43.7833,-79.4667,2.8000
42.1,-83.1,2.8065
46.4167,-63.0833,2.4931
49.0333,-97.5667,1.1742
50.2167,-66.25,1.1290
49.0,-113.3833,1.7483
47.7,-79.85,1.7476
70.7667,-117.8,-1.3258
51.6667,-105.4,0.4484
50.4667,-59.6333,1.3065
47.7,-79.85,1.4452
53.9667,-101.1,0.5161
50.6833,-121.9333,2.8258
48.25,-79.0333,1.2667
50.9,-112.4667,1.1571
50.0167,-97.8,1.1258
51.0833,-114.2167,1.6065
46.05,-70.5167,1.7048
50.7167,-121.2833,2.6419
45.1167,-74.2833,2.3839
49.6333,-114.4833,1.7710
45.3167,-74.1667,2.2774
53.9667,-101.1,0.5774
45.3167,-65.8833,2.2467
50.2167,-66.2667,1.2581
47.0167,-65.4667,1.8097
49.4667,-120.5167,2.0000
49.9,-99.35,0.7065
46.6833,-71.9667,1.5742
46.45,-62.5833,2.5467
48.7833,-125.2167,4.3613
49.0333,-90.4667,1.0516
42.5167,-81.6333,2.8645
48.35,-53.9,2.4935
51.9333,-110.7167,0.6952
49.3667,-123.0833,3.1806
53.9333,-113.9167,0.7381
45.1667,-73.6833,2.2548
49.15,-88.35,1.3581
45.2167,-67.25,2.1871
52.3333,-110.5167,0.8190
43.0333,-81.15,2.6724
44.2667,-79.1667,2.4968
43.0333,-81.15,2.6935
50.7,-119.2833,2.6516
47.2833,-70.6333,0.9968
53.3167,-60.4167,0.8548
46.05,-77.3667,2.2182
47.05,-64.0,2.5613
